Freq[Hz]      Mag   Phase[Deg]
5.00000     11.433     0.000
5.07273     11.433     0.000
5.14651     11.433     0.000
5.22137     11.433     0.000
5.29732     11.433     0.000
5.37437     11.433     0.000
5.45254     11.433     0.000
5.53185     11.433     0.000
5.61231     11.433     0.000
5.69394     11.433     0.000
5.77676     11.433     0.000
5.86079     11.433     0.000
5.94604     11.433     0.000
6.03252     11.433     0.000
6.12027     11.433     0.000
6.20929     11.433     0.000
6.29961     11.433     0.000
6.39124     11.433     0.000
6.48420     11.433     0.000
6.57851     11.433     0.000
6.67420     11.433     0.000
6.77128     11.433     0.000
6.86977     11.434     0.000
6.96969     11.434     0.000
7.07107     11.434     0.000
7.17392     11.434     0.000
7.27827     11.434     0.000
7.38413     11.434     0.000
7.49154     11.434     0.000
7.60050     11.434     0.000
7.71105     11.434     0.000
7.82321     11.434     0.000
7.93701     11.434     0.000
8.05245     11.434     0.000
8.16958     11.434     0.000
8.28841     11.434     0.000
8.40896     11.435     0.000
8.53128     11.435     0.000
8.65537     11.435     0.000
8.78126     11.435     0.000
8.90899     11.435     0.000
9.03857     11.435     0.000
9.17004     11.435     0.000
9.30342     11.435     0.000
9.43874     11.435     0.000
9.57603     11.435     0.000
9.71532     11.435     0.000
9.85663     11.436     0.000
10.0000     11.436     0.000
10.1455     11.436     0.000
10.2930     11.436     0.000
10.4427     11.436     0.000
10.5946     11.436     0.000
10.7487     11.436     0.000
10.9051     11.437     0.000
11.0637     11.437     0.000
11.2246     11.437     0.000
11.3879     11.437     0.000
11.5535     11.437     0.000
11.7216     11.437     0.000
11.8921     11.438     0.000
12.0650     11.438     0.000
12.2405     11.438     0.000
12.4186     11.438     0.000
12.5992     11.438     0.000
12.7825     11.439     0.000
12.9684     11.439     0.000
13.1570     11.439     0.000
13.3484     11.439     0.000
13.5426     11.439     0.000
13.7395     11.440     0.000
13.9394     11.440     0.000
14.1421     11.440     0.000
14.3478     11.440     0.000
14.5565     11.441     0.000
14.7683     11.441     0.000
14.9831     11.441     0.000
15.2010     11.441     0.000
15.4221     11.442     0.000
15.6464     11.442     0.000
15.8740     11.442     0.000
16.1049     11.443     0.000
16.3392     11.443     0.000
16.5768     11.443     0.000
16.8179     11.444     0.000
17.0626     11.444     0.000
17.3107     11.444     0.000
17.5625     11.445     0.000
17.8180     11.445     0.000
18.0771     11.445     0.000
18.3401     11.446     0.000
18.6068     11.446     0.000
18.8775     11.447     0.000
19.1521     11.447     0.000
19.4306     11.448     0.000
19.7133     11.448     0.000
20.0000     11.448     0.000
20.2909     11.449     0.000
20.5860     11.449     0.000
20.8855     11.450     0.000
21.1893     11.450     0.000
21.4975     11.451     0.000
21.8102     11.452     0.000
22.1274     11.452     0.000
22.4492     11.453     0.000
22.7758     11.453     0.000
23.1071     11.454     0.000
23.4432     11.455     0.000
23.7841     11.455     0.000
24.1301     11.456     0.000
24.4811     11.457     0.000
24.8372     11.458     0.000
25.1984     11.458     0.000
25.5649     11.459     0.000
25.9368     11.460     0.000
26.3141     11.461     0.000
26.6968     11.462     0.000
27.0851     11.462     0.000
27.4791     11.463     0.000
27.8788     11.464     0.000
28.2843     11.465     0.000
28.6957     11.466     0.000
29.1131     11.467     0.000
29.5365     11.468     0.000
29.9661     11.469     0.000
30.4020     11.470     0.000
30.8442     11.471     0.000
31.2929     11.473     0.000
31.7480     11.474     0.000
32.2098     11.475     0.000
32.6783     11.476     0.000
33.1536     11.478     0.000
33.6359     11.479     0.000
34.1251     11.480     0.000
34.6215     11.482     0.000
35.1250     11.483     0.000
35.6359     11.485     0.000
36.1543     11.486     0.000
36.6802     11.488     0.000
37.2137     11.489     0.000
37.7550     11.491     0.000
38.3041     11.493     0.000
38.8613     11.494     0.000
39.4265     11.496     0.000
40.0000     11.498     0.000
40.5818     11.500     0.000
41.1721     11.502     0.000
41.7710     11.504     0.000
42.3785     11.506     0.000
42.9949     11.508     0.000
43.6203     11.510     0.000
44.2548     11.513     0.000
44.8985     11.515     0.000
45.5515     11.517     0.000
46.2141     11.520     0.000
