Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.032     0.086
5.07273      1.032     0.087
5.14651      1.032     0.088
5.22137      1.032     0.089
5.29732      1.033     0.091
5.37437      1.033     0.092
5.45254      1.033     0.093
5.53185      1.033     0.095
5.61231      1.033     0.096
5.69394      1.033     0.098
5.77676      1.033     0.099
5.86079      1.033     0.101
5.94604      1.033     0.102
6.03252      1.033     0.104
6.12027      1.033     0.105
6.20929      1.033     0.107
6.29961      1.033     0.108
6.39124      1.033     0.110
6.48420      1.033     0.112
6.57851      1.033     0.113
6.67420      1.033     0.115
6.77128      1.033     0.117
6.86977      1.033     0.118
6.96969      1.034     0.120
7.07107      1.034     0.122
7.17392      1.034     0.124
7.27827      1.034     0.125
7.38413      1.034     0.127
7.49154      1.034     0.129
7.60050      1.034     0.131
7.71105      1.034     0.133
7.82321      1.034     0.135
7.93701      1.034     0.137
8.05245      1.034     0.139
8.16958      1.034     0.141
8.28841      1.034     0.143
8.40896      1.035     0.145
8.53128      1.035     0.147
8.65537      1.035     0.150
8.78126      1.035     0.152
8.90899      1.035     0.154
9.03857      1.035     0.156
9.17004      1.035     0.159
9.30342      1.035     0.161
9.43874      1.035     0.163
9.57603      1.036     0.166
9.71532      1.036     0.168
9.85663      1.036     0.171
10.0000      1.036     0.173
10.1455      1.036     0.176
10.2930      1.036     0.178
10.4427      1.036     0.181
10.5946      1.037     0.183
10.7487      1.037     0.186
10.9051      1.037     0.189
11.0637      1.037     0.191
11.2246      1.037     0.194
11.3879      1.037     0.197
11.5535      1.038     0.200
11.7216      1.038     0.203
11.8921      1.038     0.206
12.0650      1.038     0.209
12.2405      1.038     0.212
12.4186      1.039     0.215
12.5992      1.039     0.218
12.7825      1.039     0.221
12.9684      1.039     0.224
13.1570      1.040     0.228
13.3484      1.040     0.231
13.5426      1.040     0.234
13.7395      1.040     0.238
13.9394      1.041     0.241
14.1421      1.041     0.244
14.3478      1.041     0.248
14.5565      1.041     0.252
14.7683      1.042     0.255
14.9831      1.042     0.259
15.2010      1.042     0.262
15.4221      1.043     0.265
15.6464      1.043     0.269
15.8740      1.043     0.272
16.1049      1.044     0.276
16.3392      1.044     0.279
16.5768      1.044     0.283
16.8179      1.045     0.286
17.0626      1.045     0.290
17.3107      1.046     0.294
17.5625      1.046     0.297
17.8180      1.046     0.301
18.0771      1.047     0.305
18.3401      1.047     0.309
18.6068      1.048     0.313
18.8775      1.048     0.317
19.1521      1.049     0.321
19.4306      1.049     0.325
19.7133      1.050     0.329
20.0000      1.050     0.333
20.2909      1.051     0.337
20.5860      1.051     0.341
20.8855      1.052     0.346
21.1893      1.053     0.350
21.4975      1.053     0.355
21.8102      1.054     0.359
22.1274      1.055     0.363
22.4492      1.055     0.368
22.7758      1.056     0.373
23.1071      1.057     0.377
