Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.814     0.939
5.07273      1.815     0.952
5.14651      1.815     0.966
5.22137      1.815     0.980
5.29732      1.815     0.995
5.37437      1.815     1.009
5.45254      1.815     1.024
5.53185      1.815     1.039
5.61231      1.815     1.054
5.69394      1.815     1.069
5.77676      1.816     1.085
5.86079      1.816     1.101
5.94604      1.816     1.117
6.03252      1.816     1.133
6.12027      1.816     1.150
6.20929      1.816     1.166
6.29961      1.817     1.183
6.39124      1.817     1.200
6.48420      1.817     1.218
6.57851      1.817     1.236
6.67420      1.817     1.254
6.77128      1.817     1.272
6.86977      1.818     1.290
6.96969      1.818     1.309
7.07107      1.818     1.328
7.17392      1.818     1.348
7.27827      1.819     1.367
7.38413      1.819     1.387
7.49154      1.819     1.407
7.60050      1.819     1.428
7.71105      1.819     1.448
7.82321      1.820     1.470
7.93701      1.820     1.491
8.05245      1.820     1.513
8.16958      1.821     1.535
8.28841      1.821     1.557
8.40896      1.821     1.579
8.53128      1.821     1.602
8.65537      1.822     1.626
8.78126      1.822     1.649
8.90899      1.822     1.673
9.03857      1.823     1.698
9.17004      1.823     1.722
9.30342      1.823     1.747
9.43874      1.824     1.773
9.57603      1.824     1.798
9.71532      1.825     1.824
9.85663      1.825     1.851
10.0000      1.825     1.878
10.1455      1.826     1.905
10.2930      1.826     1.933
10.4427      1.827     1.961
10.5946      1.827     1.989
10.7487      1.828     2.018
10.9051      1.828     2.047
11.0637      1.829     2.077
11.2246      1.829     2.107
11.3879      1.830     2.137
11.5535      1.830     2.168
11.7216      1.831     2.200
11.8921      1.831     2.231
12.0650      1.832     2.264
12.2405      1.833     2.296
12.4186      1.833     2.330
12.5992      1.834     2.363
12.7825      1.835     2.397
12.9684      1.835     2.432
13.1570      1.836     2.467
13.3484      1.837     2.503
13.5426      1.838     2.539
13.7395      1.838     2.576
13.9394      1.839     2.613
14.1421      1.840     2.651
14.3478      1.841     2.689
14.5565      1.842     2.728
14.7683      1.843     2.767
14.9831      1.844     2.807
15.2010      1.845     2.847
15.4221      1.845     2.887
15.6464      1.846     2.928
15.8740      1.848     2.970
16.1049      1.849     3.012
16.3392      1.850     3.055
16.5768      1.851     3.098
16.8179      1.852     3.142
17.0626      1.853     3.187
17.3107      1.854     3.232
17.5625      1.856     3.278
17.8180      1.857     3.325
18.0771      1.858     3.372
18.3401      1.860     3.420
18.6068      1.861     3.468
18.8775      1.863     3.517
19.1521      1.864     3.567
19.4306      1.866     3.618
19.7133      1.867     3.669
20.0000      1.869     3.721
20.2909      1.871     3.774
20.5860      1.872     3.827
20.8855      1.874     3.881
21.1893      1.876     3.936
21.4975      1.878     3.991
21.8102      1.880     4.048
22.1274      1.882     4.105
22.4492      1.884     4.163
22.7758      1.886     4.221
23.1071      1.888     4.281
23.4432      1.890     4.341
23.7841      1.893     4.402
24.1301      1.895     4.464
24.4811      1.897     4.526
24.8372      1.900     4.590
25.1984      1.902     4.654
25.5649      1.905     4.719
25.9368      1.908     4.785
26.3141      1.911     4.852
26.6968      1.913     4.920
27.0851      1.916     4.989
27.4791      1.919     5.058
27.8788      1.923     5.129
28.2843      1.926     5.200
28.6957      1.929     5.272
29.1131      1.932     5.345
29.5365      1.936     5.420
29.9661      1.940     5.495
30.4020      1.943     5.571
30.8442      1.947     5.648
