Freq[Hz]     dBSPL  Phase[Deg]
5.00000      0.147    -0.357
5.07273      0.147    -0.362
5.14651      0.147    -0.367
5.22137      0.147    -0.373
5.29732      0.147    -0.378
5.37437      0.147    -0.384
5.45254      0.147    -0.389
5.53185      0.147    -0.395
5.61231      0.147    -0.400
5.69394      0.147    -0.406
5.77676      0.147    -0.412
5.86079      0.147    -0.418
5.94604      0.147    -0.424
6.03252      0.147    -0.430
6.12027      0.147    -0.436
6.20929      0.147    -0.443
6.29961      0.147    -0.449
6.39124      0.147    -0.456
6.48420      0.147    -0.462
6.57851      0.147    -0.469
6.67420      0.147    -0.476
6.77128      0.147    -0.483
6.86977      0.147    -0.490
6.96969      0.147    -0.497
7.07107      0.147    -0.504
7.17392      0.147    -0.511
7.27827      0.147    -0.519
7.38413      0.147    -0.526
7.49154      0.147    -0.534
7.60050      0.147    -0.542
7.71105      0.147    -0.549
7.82321      0.147    -0.557
7.93701      0.147    -0.565
8.05245      0.147    -0.574
8.16958      0.147    -0.582
8.28841      0.147    -0.590
8.40896      0.147    -0.599
8.53128      0.148    -0.608
8.65537      0.148    -0.616
8.78126      0.148    -0.625
8.90899      0.148    -0.634
9.03857      0.148    -0.644
9.17004      0.148    -0.653
9.30342      0.148    -0.662
9.43874      0.148    -0.672
9.57603      0.148    -0.682
9.71532      0.148    -0.692
9.85663      0.148    -0.702
10.0000      0.148    -0.712
10.1455      0.148    -0.722
10.2930      0.148    -0.733
10.4427      0.148    -0.743
10.5946      0.148    -0.754
10.7487      0.148    -0.765
10.9051      0.148    -0.776
11.0637      0.148    -0.787
11.2246      0.148    -0.799
11.3879      0.148    -0.810
11.5535      0.148    -0.822
11.7216      0.148    -0.834
11.8921      0.148    -0.846
12.0650      0.148    -0.858
12.2405      0.148    -0.871
12.4186      0.148    -0.884
12.5992      0.148    -0.896
12.7825      0.148    -0.909
12.9684      0.148    -0.923
13.1570      0.148    -0.936
13.3484      0.148    -0.950
13.5426      0.149    -0.963
13.7395      0.149    -0.977
13.9394      0.149    -0.992
14.1421      0.149    -1.006
14.3478      0.149    -1.021
14.5565      0.149    -1.035
14.7683      0.149    -1.050
14.9831      0.149    -1.066
15.2010      0.149    -1.081
15.4221      0.149    -1.098
15.6464      0.149    -1.114
15.8740      0.149    -1.130
16.1049      0.149    -1.147
16.3392      0.149    -1.164
16.5768      0.149    -1.181
16.8179      0.149    -1.199
17.0626      0.149    -1.217
17.3107      0.150    -1.235
17.5625      0.150    -1.253
17.8180      0.150    -1.272
18.0771      0.150    -1.290
18.3401      0.150    -1.309
18.6068      0.150    -1.329
18.8775      0.150    -1.349
19.1521      0.150    -1.368
19.4306      0.150    -1.389
19.7133      0.150    -1.409
20.0000      0.150    -1.430
20.2909      0.151    -1.451
20.5860      0.151    -1.473
20.8855      0.151    -1.495
21.1893      0.151    -1.517
21.4975      0.151    -1.539
21.8102      0.151    -1.562
22.1274      0.151    -1.585
22.4492      0.151    -1.608
22.7758      0.152    -1.632
23.1071      0.152    -1.656
23.4432      0.152    -1.681
23.7841      0.152    -1.705
24.1301      0.152    -1.731
24.4811      0.152    -1.756
24.8372      0.152    -1.782
25.1984      0.153    -1.808
25.5649      0.153    -1.835
25.9368      0.153    -1.862
26.3141      0.153    -1.890
26.6968      0.153    -1.918
27.0851      0.153    -1.946
27.4791      0.154    -1.975
27.8788      0.154    -2.004
28.2843      0.154    -2.033
28.6957      0.154    -2.063
