Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.158     0.162
5.07273      1.158     0.165
5.14651      1.158     0.167
5.22137      1.158     0.170
5.29732      1.158     0.172
5.37437      1.158     0.175
5.45254      1.158     0.177
5.53185      1.158     0.180
5.61231      1.158     0.183
5.69394      1.159     0.185
5.77676      1.159     0.188
5.86079      1.159     0.191
5.94604      1.159     0.193
6.03252      1.159     0.196
6.12027      1.159     0.199
6.20929      1.159     0.202
6.29961      1.159     0.205
6.39124      1.159     0.208
6.48420      1.159     0.211
6.57851      1.159     0.214
6.67420      1.160     0.217
6.77128      1.160     0.221
6.86977      1.160     0.224
6.96969      1.160     0.227
7.07107      1.160     0.230
7.17392      1.160     0.234
7.27827      1.160     0.237
7.38413      1.160     0.241
7.49154      1.161     0.244
7.60050      1.161     0.248
7.71105      1.161     0.251
7.82321      1.161     0.255
7.93701      1.161     0.259
8.05245      1.161     0.262
8.16958      1.161     0.266
8.28841      1.162     0.270
8.40896      1.162     0.274
8.53128      1.162     0.278
8.65537      1.162     0.282
8.78126      1.162     0.286
8.90899      1.162     0.290
9.03857      1.163     0.294
9.17004      1.163     0.299
9.30342      1.163     0.303
9.43874      1.163     0.307
9.57603      1.163     0.312
9.71532      1.164     0.316
9.85663      1.164     0.321
10.0000      1.164     0.326
10.1455      1.164     0.330
10.2930      1.165     0.335
10.4427      1.165     0.340
10.5946      1.165     0.345
10.7487      1.165     0.350
10.9051      1.166     0.355
11.0637      1.166     0.360
11.2246      1.166     0.365
11.3879      1.167     0.370
11.5535      1.167     0.375
11.7216      1.167     0.381
11.8921      1.168     0.386
12.0650      1.168     0.392
12.2405      1.168     0.397
12.4186      1.169     0.403
12.5992      1.169     0.409
12.7825      1.169     0.415
12.9684      1.170     0.421
13.1570      1.170     0.426
13.3484      1.171     0.433
13.5426      1.171     0.439
13.7395      1.172     0.445
13.9394      1.172     0.451
14.1421      1.172     0.458
14.3478      1.173     0.464
14.5565      1.173     0.471
14.7683      1.174     0.477
14.9831      1.174     0.484
15.2010      1.175     0.490
15.4221      1.176     0.497
15.6464      1.176     0.503
15.8740      1.177     0.510
16.1049      1.177     0.517
16.3392      1.178     0.523
16.5768      1.179     0.530
16.8179      1.179     0.537
17.0626      1.180     0.544
17.3107      1.181     0.551
17.5625      1.181     0.558
17.8180      1.182     0.566
18.0771      1.183     0.573
18.3401      1.184     0.581
18.6068      1.184     0.588
18.8775      1.185     0.596
19.1521      1.186     0.603
19.4306      1.187     0.611
19.7133      1.188     0.619
20.0000      1.189     0.627
20.2909      1.190     0.635
20.5860      1.191     0.643
20.8855      1.192     0.651
21.1893      1.193     0.660
21.4975      1.194     0.668
21.8102      1.195     0.677
22.1274      1.196     0.685
22.4492      1.197     0.694
22.7758      1.198     0.703
23.1071      1.200     0.711
23.4432      1.201     0.720
23.7841      1.202     0.729
24.1301      1.204     0.738
24.4811      1.205     0.748
24.8372      1.206     0.757
25.1984      1.208     0.766
